Base_file_path,Base_time,Base_k,Base_solver,Base_neg_state,Base_status,Base_frame_sizes,Base_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_1678_e1_3565.lus,166.489,5,28612,83,timeout,105 87 78 62 32,290.156
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_5396_e3_282.lus,283.699,6,38563,103,timeout,131 124 112 93 63 33,290.154
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e1_505.lus,189.524,4,28679,90,timeout,135 119 91 42,290.145
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e4_4421.lus,88.418,4,18292,69,timeout,109 98 74 34,290.149
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12.lus,1.599,5,1178,13,safe,8 6 5 3,1.976
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e1_4640_e7_128.lus,0.024,0,2,0,unsafe,Not Found,0.395
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618.lus,2.112,5,1448,14,safe,9 7 5 3,2.496
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e1_6030.lus,3.545,6,2375,24,safe,22 20 19 16 9,3.932
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e2_138.lus,1.326,5,1002,11,safe,10 7 6 4,1.691
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e3_2012.lus,3.901,6,2465,19,safe,24 21 19 14 6,4.301
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e7_4732.lus,0.022,0,2,0,unsafe,Not Found,0.391
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13.lus,96.384,11,22248,43,safe,36 30 25 24 23 22 21 20 19 10,96.784
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e3_1418_e3_2761.lus,0.25,1,110,7,timeout,7,290.135
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336.lus,0.022,0,2,0,unsafe,Not Found,0.397
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336_e1_541.lus,0.023,0,2,0,unsafe,Not Found,0.401
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336_e2_1255.lus,0.022,0,2,0,unsafe,Not Found,0.406
