Reuse&Unsatcore_file_path,Reuse&Unsatcore_time,Reuse&Unsatcore_k,Reuse&Unsatcore_solver,Reuse&Unsatcore_neg_state,Reuse&Unsatcore_num_s,Reuse&Unsatcore_num_t,Reuse&Unsatcore_num_gen,Reuse&Unsatcore_status,Reuse&Unsatcore_frame_sizes,Reuse&Unsatcore_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e2_693.lus,0.249,2,131,10,0,0,Not Found,unsafe,8 1,0.593
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e3_1071.lus,0.298,2,131,10,0,0,Not Found,unsafe,8 1,0.653
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6.lus,86.199,14,19648,159,0,67,Not Found,safe,114 112 108 103 97 90 82 73 63 52 40 27 13,86.568
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152.lus,25.794,14,9156,56,0,1,Not Found,safe,26 24 22 20 18 16 14 12 10 8 6 5 2,26.144
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152_e1_391.lus,1.943,7,1726,24,0,2,Not Found,safe,18 17 14 13 11 5,2.299
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e2_506.lus,0.348,2,219,15,0,0,Not Found,unsafe,13 3,0.691
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e3_349.lus,0.318,2,158,12,0,0,Not Found,unsafe,10 1,0.661
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_893.lus,0.295,2,171,13,0,0,Not Found,unsafe,11 2,0.639
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e1_956.lus,0.342,2,158,12,0,0,Not Found,unsafe,10 1,0.685
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e3_47.lus,0.363,2,171,13,0,0,Not Found,unsafe,11 2,0.703
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e5_979.lus,0.367,2,171,13,0,0,Not Found,unsafe,11 2,0.712
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd.lus,14.187,9,10443,93,2,43,Not Found,safe,120 117 113 106 95 80 59 30,14.53
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_621_e7_669.lus,0.244,2,168,12,1,0,Not Found,unsafe,8 1,0.592
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_8.lus,0.174,2,130,10,1,0,Not Found,unsafe,8 1,0.519
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/Gas.lus,0.031,1,22,2,0,0,Not Found,timeout,2,290.225
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1.lus,0.463,3,343,12,1,0,Not Found,safe,13 9,0.807
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e1_1317.lus,0.913,4,688,19,0,0,Not Found,safe,18 16 10,1.262
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e3_1060.lus,1.816,5,1237,22,0,0,Not Found,safe,21 19 17 10,2.166
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e7_397.lus,0.637,4,529,15,0,0,Not Found,safe,9 6 4,0.99
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e1_317.lus,0.851,4,664,16,0,0,Not Found,safe,4 1 0,1.201
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e2_943.lus,0.258,3,205,10,0,0,Not Found,safe,9 8,0.603
