Base_file_path,Base_time,Base_k,Base_solver,Base_neg_state,Base_status,Base_frame_sizes,Base_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e8_1055.lus,0.787,2,467,10,unsafe,8 1,1.134
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_11_e1_429.lus,0.925,2,509,10,unsafe,8 1,1.274
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_11_e5_24.lus,0.882,2,509,10,unsafe,8 1,1.236
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_661.lus,0.98,2,509,10,unsafe,8 1,1.331
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244.lus,260.91,13,44831,153,safe,110 108 104 98 91 84 75 66 55 42 29 14,261.306
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e1_823.lus,42.841,13,17204,45,safe,33 31 29 27 25 23 21 19 18 14 10 6,43.214
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e2_693.lus,0.717,2,449,10,unsafe,8 1,1.051
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e3_1071.lus,0.896,2,491,10,unsafe,8 1,1.246
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6.lus,159.636,14,30980,79,safe,29 27 24 22 20 17 15 13 10 8 7 6 2,160.012
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152.lus,11.523,9,7541,31,safe,23 22 19 18 15 13 11 5,11.883
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152_e1_391.lus,8.651,9,6540,42,safe,28 27 25 23 21 17 10 5,9.008
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e2_506.lus,0.771,2,543,13,unsafe,11 2,1.112
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e3_349.lus,0.803,2,553,13,unsafe,11 2,1.147
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_893.lus,0.761,2,526,12,unsafe,10 1,1.119
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e1_956.lus,1.664,2,865,16,unsafe,15 4,2.013
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e3_47.lus,1.16,2,631,13,unsafe,11 2,1.507
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e5_979.lus,0.999,2,568,12,unsafe,10 1,1.348
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd.lus,28.822,9,15250,116,safe,56 53 49 45 40 34 26 15,29.181
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_621_e7_669.lus,0.933,4,1075,26,unsafe,19 14 8 3,1.289
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_8.lus,0.859,6,1045,17,unsafe,9 7 6 5 4 2,1.21
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/Gas.lus,5.703,11,4208,14,timeout,11 10 9 8 7 6 5 4 3 2 1,290.146
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1.lus,1.178,4,1284,13,safe,8 4 2,1.534
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e1_1317.lus,1.026,4,1060,14,safe,9 6 5,1.375
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e3_1060.lus,0.95,4,1037,16,safe,11 8 6,1.296
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e7_397.lus,0.968,4,1083,20,safe,19 17 13,1.308
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e1_317.lus,1.164,5,1102,16,safe,9 8 7 5,1.511
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e2_943.lus,0.654,4,722,10,safe,5 4 2,1.008
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e3_961.lus,0.989,4,1068,14,safe,9 6 4,1.329
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e7_1163.lus,0.787,4,975,14,safe,11 8 6,1.133
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e7_606.lus,1.549,5,1443,24,safe,14 13 12 7,1.898
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2.lus,254.897,11,49969,173,timeout,169 163 158 154 141 127 111 93 73 51 26,290.164
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e1_556.lus,93.368,7,20583,73,unsafe,31 25 21 16 12 8 4,93.746
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e2_617.lus,1.437,5,1539,14,safe,5 4 3 1,1.783
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e3_287.lus,2.264,2,990,16,unsafe,17 8,2.622
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e7_1440.lus,197.118,6,26090,77,timeout,39 35 31 26 21 17,290.168
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_190.lus,138.712,13,31205,85,safe,76 74 72 69 67 66 64 61 52 42 30 15,139.085
