Reuse_file_path,Reuse_time,Reuse_k,Reuse_solver,Reuse_neg_state,Reuse_num_s,Reuse_num_t,Reuse_num_gen,Reuse_status,Reuse_frame_sizes,Reuse_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/rtp_vt.lus,264.884,8,36513,114,8,16,Not Found,timeout,144 143 141 137 132 129 100 54,290.137
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_1.lus,1.627,4,849,13,2,0,Not Found,unsafe,11 9 6 3,1.996
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341.lus,1.26,4,666,12,1,0,Not Found,unsafe,8 6 4 1,1.622
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,1.167,4,635,12,1,0,Not Found,unsafe,7 5 3 1,1.525
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_8.lus,0.541,2,287,9,1,0,Not Found,unsafe,6 2,0.886
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_9.lus,1.074,2,538,12,1,0,Not Found,unsafe,9 1,1.444
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5.lus,106.271,12,25060,47,0,1,Not Found,safe,20 18 16 14 12 10 8 6 4 1 0,106.621
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e2_1083.lus,0.741,2,467,10,0,0,Not Found,unsafe,8 1,1.081
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e3_473.lus,0.753,2,467,10,0,0,Not Found,unsafe,8 1,1.098
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e8_1055.lus,0.754,2,467,10,0,0,Not Found,unsafe,8 1,1.098
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_11_e1_429.lus,0.906,2,509,10,0,0,Not Found,unsafe,8 1,1.247
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_11_e5_24.lus,0.971,2,509,10,0,0,Not Found,unsafe,8 1,1.315
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_661.lus,0.946,2,509,10,0,0,Not Found,unsafe,8 1,1.296
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244.lus,245.615,13,43375,153,0,45,Not Found,safe,110 108 104 98 91 84 75 66 55 42 29 14,245.981
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e1_823.lus,42.806,13,17199,45,0,1,Not Found,safe,33 31 29 27 25 23 21 19 18 14 10 6,43.16
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e2_693.lus,0.695,2,449,10,0,0,Not Found,unsafe,8 1,1.044
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e3_1071.lus,0.82,2,491,10,0,0,Not Found,unsafe,8 1,1.168
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6.lus,142.906,14,30030,79,0,4,Not Found,safe,29 27 24 22 20 17 15 13 10 8 7 6 2,143.256
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152.lus,12.482,9,7533,31,0,2,Not Found,safe,23 22 19 18 15 13 11 5,12.821
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152_e1_391.lus,8.385,9,6421,42,0,12,Not Found,safe,28 27 25 23 21 17 10 5,8.729
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e2_506.lus,0.766,2,543,13,0,0,Not Found,unsafe,11 2,1.109
